legacy_url,legacy_id,tip,yeni_url,eylem,not
/d5-render-ic-mekan-gercekci-render-rehberi.html,6870,post,/d5-render-ic-mekan-gercekci-render-rehberi.html,keep,"kategori=1168,538; tarih=2024-10-22"
/d5-render-ic-mekan-gercekci-render-rehberi.html?amp=1,6870,post-amp,/d5-render-ic-mekan-gercekci-render-rehberi.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/d5-render-ic-mekan-gercekci-render-rehberi.html/amp,6870,post-amp,/d5-render-ic-mekan-gercekci-render-rehberi.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/sketchup-sikca-sorulan-sorular-ve-sir-gibi-cevaplari.html,6864,post,/sketchup-sikca-sorulan-sorular-ve-sir-gibi-cevaplari.html,keep,"kategori=1169,1172; tarih=2024-10-04"
/sketchup-sikca-sorulan-sorular-ve-sir-gibi-cevaplari.html?amp=1,6864,post-amp,/sketchup-sikca-sorulan-sorular-ve-sir-gibi-cevaplari.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/sketchup-sikca-sorulan-sorular-ve-sir-gibi-cevaplari.html/amp,6864,post-amp,/sketchup-sikca-sorulan-sorular-ve-sir-gibi-cevaplari.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/elektrikli-araclarin-yukselisi-gelecege-hazirmisin.html,6859,post,/elektrikli-araclarin-yukselisi-gelecege-hazirmisin.html,keep,kategori=218; tarih=2024-09-23
/elektrikli-araclarin-yukselisi-gelecege-hazirmisin.html?amp=1,6859,post-amp,/elektrikli-araclarin-yukselisi-gelecege-hazirmisin.html,redirect,"AMP kanonik biçim (rel=amphtml ile ilan ediliyor); yeni sistemde AMP yok, kanonik sayfaya 301"
/elektrikli-araclarin-yukselisi-gelecege-hazirmisin.html/amp,6859,post-amp,/elektrikli-araclarin-yukselisi-gelecege-hazirmisin.html,redirect,"AMP yol biçimi; kaynakta ?amp=1'e yönleniyor; yeni sistemde AMP yok, kanonik sayfaya 301"
/fortune-500-nedir-dunyanin-en-guclu-sirketlerinin-sirri.html,6854,post,/fortune-500-nedir-dunyanin-en-guclu-sirketlerinin-sirri.html,keep,kategori=218; tarih=2024-09-23
